block_id,drug1,drug2,conc_unit1,conc_unit2,input_type,replicate,ZIP_synergy_p_value,HSA_synergy_p_value,Bliss_synergy_p_value,Loewe_synergy_p_value,ZIP_synergy,HSA_synergy,Bliss_synergy,Loewe_synergy,ic50_1,ic50_2,ri_1,ri_2,css1_ic502,css2_ic501,css
16,Anchor,Test_Compound16,uM,uM,viability,FALSE,1.15e-02,1.12e-02,3.61e-04,4.34e-02,-3.9537285344186763,3.2862144659631958,-5.402925839108101,3.42869805788923,8.368583264226049e-4,0.033281266474698416,51.094,26.945,60.045,43.077,51.561
17,Anchor,Test_Compound17,uM,uM,viability,FALSE,5.72e-03,4.39e-03,8.69e-03,2.93e-02,-3.557837657004836,2.9638951287278283,-3.2051897547497212,2.9518705997378776,0.06351001426861398,0.012113061880448472,46.997,11.917,51.615,59.477,55.546
18,Anchor,Test_Compound18,uM,uM,viability,FALSE,1.78e-10,2.62e-02,3.75e-08,3.77e-02,-9.402130586911042,2.8815896823730993,-9.055601161930783,3.00468889535023,0.0019847909982675044,0.0014270561724038756,50.865,30.4,52.523,48.317,50.42
19,Anchor,Test_Compound19,uM,uM,viability,FALSE,6.04e-03,5.49e-08,8.53e-03,1.79e-04,3.121054709514674,5.571079009310436,3.305972068353605,5.786449941299852,0.001075420320797128,1.9715678389776016e-4,48.427,7.058,52.778,38.621,45.6995
20,Anchor,Test_Compound20,uM,uM,viability,FALSE,1.23e-02,1.47e-02,1.61e-02,3.80e-02,-2.305657790329055,2.510475800628674,-2.4096392660263724,2.9074622645810577,0.0012498817218661886,0.007479841031239523,53.741,11.688,57.178,44.708,50.943
21,Anchor,Test_Compound21,uM,uM,viability,FALSE,8.29e-01,5.36e-03,9.72e-01,4.10e-02,0.2634715229558162,4.735404315719629,-0.05264768206946542,4.031827092706264,0.0018010727605565053,0.17544754634119564,45.973,8.901,57.159,39.806,48.4825
22,Anchor,Test_Compound22,uM,uM,viability,FALSE,9.52e-03,9.67e-01,7.03e-02,9.55e-01,-4.548682240214604,0.04421655481859346,-3.1279344715738047,-0.09221184721506077,0.0015303835455734254,8.966043767907283e-4,43.977,12.092,43.673,29.344,36.5085
23,Anchor,Test_Compound23,uM,uM,viability,FALSE,8.38e-05,5.17e-01,1.94e-04,3.17e-01,-10.734182222789283,-0.7745435780699947,-10.229498836998184,-1.5687002291601213,0.001230458258789965,0.004794401722265936,49.098,30.423,48.579,43.055,45.817
24,Anchor,Test_Compound24,uM,uM,viability,FALSE,3.99e-02,3.85e-01,3.89e-03,5.83e-01,-4.489703704755985,1.1518623885942028,-5.99931558828135,0.8577527538855304,7.535013764953866e-4,0.029689912169614863,49.364,21.275,55.898,34.892,45.395
25,Anchor,Test_Compound25,uM,uM,viability,FALSE,1.52e-11,3.87e-02,1.76e-10,6.38e-02,-13.357870542518947,2.848761172317107,-13.272844172301483,2.485406280615541,0.0024412828609922358,6.422558580221867e-5,48.792,45.544,55.879,56.758,56.3185
26,Anchor,Test_Compound26,uM,uM,viability,FALSE,4.51e-01,1.19e-01,7.09e-01,1.78e-01,0.732360384076386,2.1128456916573386,0.41272128136227976,2.020246216859645,5.110590806289433e-4,0.07600722072977464,50.774,2.523,53.317,29.623,41.47
27,Anchor,Test_Compound27,uM,uM,viability,FALSE,5.47e-01,3.48e-01,6.97e-01,5.69e-01,-1.490728803284849,1.4699349350095057,-1.0914651711473473,0.8116646731405184,0.0020403340773083763,0.013489033431824206,41.071,10.378,44.201,32.283,38.242000000000004
28,Anchor,Test_Compound28,uM,uM,viability,FALSE,4.31e-01,1.06e-03,6.05e-01,2.35e-03,-1.039990684002552,5.109227297134769,-0.923871644787787,4.482726074139801,0.002809009790463461,0.08815300939738627,42.889,11.151,53.934,41.054,47.494
29,Anchor,Test_Compound29,uM,uM,viability,FALSE,4.31e-01,5.58e-03,2.10e-02,4.07e-02,1.0275911582566026,5.357447377756478,3.936146310629143,3.925219913370731,0.0014161974931212356,0.07967773225757807,46.036,4.784,48.158,39.938,44.048
30,Anchor,Test_Compound30,uM,uM,viability,FALSE,7.64e-08,1.22e-02,1.82e-07,7.88e-01,-12.861777970702658,1.3883391143518033,-12.627303992467757,0.22936680915330926,9.356458202380134e-4,8.020596338791598e-4,49.907,45.493,52.108,51.132,51.62
31,Anchor,Test_Compound31,uM,uM,viability,FALSE,5.13e-04,1.09e-01,1.40e-03,2.54e-01,-4.940123658629449,3.0704550112756492,-5.371718311188787,2.460993581660909,7.979312876589473e-4,0.03190473942654278,54.301,23.792,63.337,44.601,53.969
32,Anchor,Test_Compound32,uM,uM,viability,FALSE,4.78e-01,4.24e-01,8.02e-01,9.50e-01,-1.6391840907401607,0.7920885314112165,-0.6728441432290264,0.08280018123623883,0.0011879697384871628,0.06763542462452911,45.207,7.397,48.905,36.961,42.933
33,Anchor,Test_Compound33,uM,uM,viability,FALSE,8.28e-07,1.37e-02,1.02e-06,8.75e-02,-9.7727972893141,2.5115168797189438,-9.990851531642607,2.015991781707795,0.002613727654203933,0.003308746183557724,43.424,35.822,49.196,45.498,47.346999999999994
34,Anchor,Test_Compound34,uM,uM,viability,FALSE,4.03e-01,4.24e-02,4.20e-01,2.05e-01,-1.3348147386800033,2.6780835407971635,-1.5893741020479555,1.6107852102562008,0.0014450942570987386,0.040350334876929426,44.649,13.981,55.049,38.754,46.9015
35,Anchor,Test_Compound35,uM,uM,viability,FALSE,2.30e-02,6.97e-01,4.29e-02,7.32e-01,4.085588492419987,0.5998056537271385,4.397857302083466,0.6214497358822512,9.157854783692546e-4,0.010130932383306989,47.672,-6.344,46.14,18.194,32.167
36,Anchor,Test_Compound36,uM,uM,viability,FALSE,8.35e-10,6.54e-03,6.89e-09,7.05e-03,-12.727766305088782,3.574065089664511,-12.545887573507166,3.0048124318705867,0.0014972106893372788,4.803872920489875e-5,46.887,46.763,50.748,54.036,52.391999999999996
37,Anchor,Test_Compound37,uM,uM,viability,FALSE,9.26e-02,2.47e-01,2.30e-01,4.47e-01,2.692411709724366,1.8219901261198255,2.049269597044389,1.4531007682861945,3.194887724324773e-4,0.1731596016006172,51.223,-1.315,54.264,24.668,39.466
38,Anchor,Test_Compound38,uM,uM,viability,FALSE,3.00e-03,3.99e-02,4.14e-02,9.87e-01,-5.6491236242422005,2.326204935717027,-4.32887692370467,0.018078656797752543,0.0013649985794994557,0.07471722695522603,51.376,20.474,57.409,44.715,51.062
39,Anchor,Test_Compound39,uM,uM,viability,FALSE,3.97e-02,2.30e-04,6.12e-02,4.79e-04,2.511586703522549,10.559618753661539,2.7989209803543673,9.520232463610778,0.0023192057175921792,0.023941796418490178,50.468,27.189,76.028,58.433,67.2305
40,Anchor,Test_Compound40,uM,uM,viability,FALSE,7.39e-09,2.16e-03,2.13e-03,6.54e-03,6.753073634175729,6.9064873732095675,5.841821588432494,4.854457514245767,6.18315426242223e-4,0.12455047449054545,44.439,2.546,54.045,29.786,41.9155
41,Anchor,Test_Compound41,uM,uM,viability,FALSE,3.97e-03,8.09e-01,2.47e-02,8.73e-01,4.603095791431848,0.3077253126417567,4.064941605484403,0.23869572329519945,0.001448871973037533,0.01352501282029663,45.056,-7.134,45.785,30.306,38.0455
42,Anchor,Test_Compound42,uM,uM,viability,FALSE,1.36e-01,5.89e-03,8.84e-02,9.59e-03,-4.480311874016351,-6.954271639700019,-5.511543756714951,-7.104534952247279,9.749005086919316e-4,0.0430516985808278,46.63,10.291,43.458,29.689,36.573499999999996
43,Anchor,Test_Compound43,uM,uM,viability,FALSE,1.55e-02,1.84e-01,1.01e-02,4.27e-01,-6.0670787038284235,1.7692105529956246,-6.744938849277051,1.1639850792865252,0.0010747676392909601,0.017434007382489337,51.251,29.473,56.326,47.349,51.8375
44,Anchor,Test_Compound44,uM,uM,viability,FALSE,1.82e-01,4.96e-01,1.33e-01,4.75e-01,-2.7466000455853057,-1.3075603282759973,-2.7556590713761953,-1.5243832068894418,4.5763881102542386e-4,0.6170309641202407,59.104,2.022,61.706,32.118,46.912000000000006
45,Anchor,Test_Compound45,uM,uM,viability,FALSE,5.27e-01,3.58e-02,2.39e-01,7.86e-02,0.9658397691355652,3.170744875747747,1.7963082247154276,3.034767811360753,0.0012299067850093525,0.0032120535739797694,51.924,2.891,51.779,37.641,44.71
46,Anchor,Test_Compound46,uM,uM,viability,FALSE,1.42e-05,3.97e-01,2.75e-04,3.36e-01,-8.116344331873371,1.5330102249312292,-8.359496353617114,1.6512153838802306,0.01194093577159839,0.07566051116637128,55.545,20.376,56.537,57.792,57.164500000000004
47,Anchor,Test_Compound47,uM,uM,viability,FALSE,9.96e-03,4.91e-03,4.86e-03,8.23e-02,7.860768825291085,7.371799271725203,10.060724825093729,4.663336427869739,0.0014212727603577621,0.09242399299019308,38.883,5.886,54.024,34.621,44.322500000000005
48,Anchor,Test_Compound48,uM,uM,viability,FALSE,2.24e-09,3.65e-02,4.93e-07,6.43e-02,-8.240243777960744,3.035427869949726,-8.830842179909382,2.855989815200622,4.8542993182949784e-4,0.006688859339122725,51.881,26.995,56.555,44.006,50.2805
49,Anchor,Test_Compound49,uM,uM,viability,FALSE,2.74e-08,4.01e-01,9.77e-07,6.45e-01,-10.640066802301483,1.5194944457693522,-12.131903056797531,0.8226009558259447,2.348997885662591e-4,0.053841128632718,56.449,36.974,57.622,44.677,51.1495
50,Anchor,Test_Compound50,uM,uM,viability,FALSE,3.41e-10,1.66e-01,1.55e-04,1.66e-01,-7.405443418875627,1.3800521495617628,-6.639819383758633,1.4353521439224983,0.00663230422152274,0.07692369614565983,48.17,32.316,66.68,56.212,61.446000000000005
51,Anchor,Test_Compound51,uM,uM,viability,FALSE,1.32e-12,1.83e-02,3.73e-11,1.61e-02,-13.975695627704736,-2.571617644373199,-15.220376351997187,-3.08301159605959,0.0012085515648289748,0.533414898780839,55.227,29.178,59.977,42.572,51.2745
52,Anchor,Test_Compound52,uM,uM,viability,FALSE,7.86e-14,3.37e-01,3.50e-12,4.93e-01,-13.446150974722832,1.111027641165232,-14.044352530091787,0.809732237315173,0.2764635821080756,0.014336082406157203,52.952,40.814,58.373,64.259,61.316
53,Anchor,Test_Compound53,uM,uM,viability,FALSE,4.40e-14,2.63e-01,2.59e-11,1.97e-01,-15.022917291387111,-1.5194061266150347,-16.56789711984588,-1.6081018782358423,0.07313444216778504,0.03687698415650795,56.402,37.031,56.005,61.904,58.9545
54,Anchor,Test_Compound54,uM,uM,viability,FALSE,1.56e-09,2.46e-01,7.34e-08,3.06e-01,-10.141840348324115,1.7644766018594693,-10.105317318892121,1.5671463032997888,0.436005543499166,0.18213158196238205,52.418,25.726,62.961,64.28,63.6205
55,Anchor,Test_Compound55,uM,uM,viability,FALSE,4.10e-10,5.06e-02,8.69e-08,1.41e-01,-9.297277657502796,3.1521653426441807,-9.16772346601062,2.6970337796724575,0.0012968796971374401,1,58.052,30.783,83.732,53.588,68.66
56,Anchor,Test_Compound56,uM,uM,viability,FALSE,4.15e-08,3.37e-03,2.28e-07,1.53e-02,-9.440528602469966,4.374921887409835,-9.782001203464018,4.137622266886901,9.002695359205457e-4,0.15526134622571305,59.532,36.582,67.245,53.404,60.3245
57,Anchor,Test_Compound57,uM,uM,viability,FALSE,3.18e-03,2.05e-02,1.68e-02,6.91e-02,-3.9978585486865654,4.561020617524679,-4.038963901997608,3.677499718795651,3.786228218810448e-4,0.18674074366686227,55.017,18.534,70.067,40.363,55.214999999999996
58,Anchor,Test_Compound58,uM,uM,viability,FALSE,7.88e-14,1.34e-01,1.07e-15,2.45e-01,-16.55461556288495,-1.1994982305279185,-16.740192844447705,-1.3710708253988169,7.572814504237437e-4,2.4396364043934715e-4,54.68,39.671,54.228,44.04,49.134
59,Anchor,Test_Compound59,uM,uM,viability,FALSE,6.36e-08,2.29e-02,6.09e-08,1.01e-01,-10.975373331131703,3.6769330072422215,-10.901656669148755,3.1982728895396653,0.3065282551179929,0.02452789301856784,47.649,39.629,60.364,62.958,61.661
60,Anchor,Test_Compound60,uM,uM,viability,FALSE,8.41e-11,5.02e-01,9.65e-10,2.97e-01,-12.344382592978919,-1.047363652066927,-14.473468626277683,-1.2908874618902915,0.001031573230052006,0.11482661089861837,57.337,33.266,57.226,43.286,50.256
61,Anchor,Test_Compound61,uM,uM,viability,FALSE,1.25e-04,3.28e-01,3.56e-04,3.87e-01,-10.866720451376798,1.059944715890681,-10.54264680456203,0.8804735789556011,0.002786559514313962,8.691141148874383e-6,33.372,40.345,44.668,44.222,44.445
62,Anchor,Test_Compound62,uM,uM,viability,FALSE,5.27e-01,4.25e-01,9.93e-01,6.07e-01,1.4474430230634656,1.7771958482776404,-0.021843404872277858,1.2413016015033056,9.707323016214536e-4,1,37.907,5.383,54.611,21.094,37.8525
63,Anchor,Test_Compound63,uM,uM,viability,FALSE,1.89e-02,6.35e-01,6.68e-03,5.01e-01,-4.471433231717912,-0.936037870031586,-5.896672334516784,-1.3698995677955639,0.09578906903063408,0.7156485751989041,41.513,3.927,47.799,54.118,50.9585
64,Anchor,Test_Compound64,uM,uM,viability,FALSE,5.35e-04,5.22e-02,1.92e-02,1.17e-01,4.413787827272366,4.353808089735859,3.39979821448648,3.450236523285321,0.0011380150360240082,1,38.335,-0.357,64.525,26.981,45.753
65,Anchor,Test_Compound65,uM,uM,viability,FALSE,2.51e-01,5.36e-01,7.70e-01,9.27e-01,-2.4433656218099147,0.8325789773214717,0.8323029077924765,-0.16912231808333772,0.0015334520015137442,0.15714563397339187,37.343,7.084,41.286,26.69,33.988
66,Anchor,Test_Compound66,uM,uM,viability,FALSE,5.10e-02,2.44e-02,3.64e-01,2.29e-02,-1.5914163440036744,3.435442257929934,-1.2330352916924667,3.037782423766839,0.002338039095712356,0.7516779204535174,38.6,6.069,62.861,32.697,47.778999999999996
67,Anchor,Test_Compound67,uM,uM,viability,FALSE,3.54e-03,8.00e-02,7.97e-04,1.27e-01,-6.062171276171991,3.40472743710653,-7.283611252991867,3.095032986509853,0.001236292138790325,0.004038905369973501,41.481,31.304,42.707,42.338,42.5225
68,Anchor,Test_Compound68,uM,uM,viability,FALSE,2.14e-03,3.74e-05,5.30e-03,2.13e-04,4.521630917870226,5.985166886136989,4.713184510699826,5.378003818561519,0.0026809754283020873,0.0662728755102468,32.094,18.521,47.633,40.824,44.2285
69,Anchor,Test_Compound69,uM,uM,viability,FALSE,2.45e-01,6.52e-02,1.86e-01,2.25e-01,2.1420736134238307,1.9546356595878105,2.320117366361373,1.7261705541823062,0.0010139130034086238,1,36.026,1.203,37.22,22.142,29.680999999999997
70,Anchor,Test_Compound70,uM,uM,viability,FALSE,6.26e-07,1.14e-01,2.68e-07,4.91e-01,-7.312012093770874,1.5102215358233693,-8.633414351031217,0.9099850296428869,4.000876765835823e-4,0.16625796473031154,44.238,18.145,46.644,30.74,38.692
71,Anchor,Test_Compound71,uM,uM,viability,FALSE,2.21e-06,9.46e-04,2.87e-06,3.40e-02,-9.895719144970625,2.118554898785647,-9.749705556846521,1.448357921155218,9.649693318505489e-4,0.0024379599443853,43.383,28.421,46.834,39.557,43.1955
72,Anchor,Test_Compound72,uM,uM,viability,FALSE,4.41e-01,6.16e-02,3.31e-01,8.99e-02,-1.1012401695583638,3.330723788244267,-1.9439341077708645,3.3206017292818313,0.001459547650576022,0.4377904232526975,42.958,10.212,50.794,36.773,43.783500000000004
73,Anchor,Test_Compound73,uM,uM,viability,FALSE,1.51e-05,2.95e-01,3.54e-06,7.54e-01,-9.661967015019034,0.9012609248896187,-9.316498633262807,0.5169546316517939,0.003463394355550236,0.007802450918972233,45.242,39.962,52.551,51.887,52.219
74,Anchor,Test_Compound74,uM,uM,viability,FALSE,4.97e-03,1.99e-03,1.97e-01,5.80e-03,3.323298422831264,3.8090478372939405,1.9655139069201955,4.616237681390461,0.001875394718571108,0.029501451930817168,40.959,3.286,44.773,34.094,39.4335
75,Anchor,Test_Compound75,uM,uM,viability,FALSE,5.08e-01,6.42e-03,8.28e-01,6.74e-02,-1.2747600733105413,3.548126635498163,-0.45102853276318744,2.705468596055583,0.0026593244971658847,0.16574991101346676,40.687,9.067,46.561,39.387,42.974000000000004
76,Anchor,Test_Compound76,uM,uM,viability,FALSE,5.76e-01,8.28e-04,3.35e-01,1.68e-03,-0.6288212268942167,6.049498389678985,-1.5434296564833605,5.325158641080807,0.005322042486115963,1,35.848,11.787,52.182,34.345,43.2635
77,Anchor,Test_Compound77,uM,uM,viability,FALSE,7.57e-03,1.44e-01,5.68e-02,2.75e-01,7.167290225458675,3.653892941286353,5.314009062536443,3.1153879945110323,7.13025889157814e-4,0.08728052872877722,33.866,-0.468,42.464,12.462,27.463
78,Anchor,Test_Compound78,uM,uM,viability,FALSE,1.10e-01,1.39e-01,1.96e-01,3.01e-01,2.7176775020743507,2.2281791531615367,2.7028340459191798,1.54977894823551,0.003354183551349361,1,34.146,0.683,41.509,32.997,37.253
79,Anchor,Test_Compound79,uM,uM,viability,FALSE,4.17e-02,8.83e-01,4.05e-02,9.25e-01,5.417362244308611,0.2485646339829928,6.439163150610591,0.1900821820607512,0.0014699428948196165,0.09247377546183735,33.844,-3.816,35.229,22.906,29.0675
80,Anchor,Test_Compound80,uM,uM,viability,FALSE,1.14e-04,1.91e-01,1.24e-03,9.04e-02,-6.4111377963633895,-4.108419829024054,-10.29933018702995,-4.344184511053779,0.0276806727914066,0.05228609276857672,41.783,10.174,41.548,45.888,43.718
81,Anchor,Test_Compound81,uM,uM,viability,FALSE,3.21e-05,4.69e-01,3.96e-05,3.16e-01,-10.865733514240103,-1.371784180962536,-11.670916503441877,-1.7928218911164577,0.006941828046712191,0.001147329453474023,35.72,38.498,43.159,48.298,45.7285
82,Anchor,Test_Compound82,uM,uM,viability,FALSE,1.65e-02,1.50e-01,8.46e-03,1.98e-02,-4.65064868152268,-2.219214671659965,-5.92673591473525,-3.014595947678491,0.01661891066474754,0.7895613388179982,36.581,6.818,48.226,38.674,43.45
83,Anchor,Test_Compound83,uM,uM,viability,FALSE,5.27e-03,4.51e-01,7.89e-03,2.01e-01,-7.348607849939812,-1.078992762789631,-7.675319296134064,-1.8575138332234948,0.03059977219356122,0.00873225795268355,27.717,21.522,36.21,38.06,37.135000000000005
84,Anchor,Test_Compound84,uM,uM,viability,FALSE,2.25e-04,9.94e-01,1.05e-03,8.50e-01,-6.462007415389588,0.011752304549681512,-7.301334862474377,-0.27650233286463005,0.0027006914864172744,0.15374834668755943,30.365,22.908,48.16,29.397,38.778499999999994
85,Anchor,Test_Compound85,uM,uM,viability,FALSE,5.98e-04,5.76e-04,3.49e-02,4.92e-04,4.519493695074003,5.833939436159729,5.003281542893167,6.375142177077801,9.660170955877454e-4,1.8813202068307117e-12,41.236,1.259,42.202,34.521,38.3615
86,Anchor,Test_Compound86,uM,uM,viability,FALSE,8.41e-02,7.45e-03,4.98e-01,4.54e-02,-4.3703763858760425,4.812469528471794,-2.136619785549452,4.4082485207707665,0.0013761825886338176,8.980705426106125e-4,25.414,24.713,29.721,28.919,29.32
87,Anchor,Test_Compound87,uM,uM,viability,FALSE,6.82e-02,1.51e-01,3.47e-01,3.75e-01,-2.6595203543686154,1.863837777576661,-1.64260369112451,1.3531631536752537,0.0014639238967321408,0.8215826551888588,48.454,3.872,46.626,38.305,42.4655
88,Anchor,Test_Compound88,uM,uM,viability,FALSE,2.22e-12,7.23e-03,6.46e-11,2.44e-02,-19.08830892223498,-5.215086514154176,-20.899886078839362,-4.46612534732441,0.0018218378095379937,0.0017141007178063652,41.256,51.191,46.475,46.817,46.646
89,Anchor,Test_Compound89,uM,uM,viability,FALSE,1.54e-03,2.37e-01,4.15e-04,1.39e-01,-5.0264114659218215,-1.7358015052878286,-6.651526145188435,-2.4404244148080183,0.0011700880097444781,0.14377632395166254,41.385,14.311,51.292,28.646,39.969
90,Anchor,Test_Compound90,uM,uM,viability,FALSE,7.32e-03,6.28e-01,9.55e-03,3.00e-01,-6.4388401346539785,-0.6750483551343971,-6.645427922968567,-1.6415298340529387,0.00197950128866373,0.01284750115300984,32.519,18.868,33.161,32.194,32.6775
91,Anchor,Test_Compound91,uM,uM,viability,FALSE,2.51e-09,2.31e-01,2.59e-06,2.96e-01,-8.800049705755772,2.399358279925906,-9.978447466842601,2.1282849023535397,0.19606950404488402,7.091158014564717e-4,37.215,46.763,36.346,60.027,48.186499999999995
92,Anchor,Test_Compound92,uM,uM,viability,FALSE,7.81e-09,9.89e-02,5.56e-08,2.29e-01,-10.083973393513768,2.772144276638532,-10.101684865541166,2.0123135849756886,9.712676939568406e-4,0.09226139354730055,68.303,47.097,79.591,66.651,73.121
