block_id,conc1,conc2,ZIP_fit,ZIP_ref,ZIP_synergy,HSA_ref,HSA_synergy,Bliss_ref,Bliss_synergy,Loewe_ref,Loewe_synergy,Loewe_ci
1,2e-4,0,-5.129842579481889,-5.129842579481889,0,-5.129842579481889,0,-5.129842579481889,0,-5.129842579481889,0,NA
1,0,1,28.257871705603634,28.257871705603634,0,28.257871705603634,0,28.257871705603634,0,28.257871705603634,0,NA
1,0,0.1,42.80550843471755,42.80550843471755,0,42.80550843471755,0,42.80550843471755,0,42.80550843471755,0,NA
1,0,0.01,19.519425747763872,19.519425747763872,0,19.519425747763872,0,19.519425747763872,0,19.519425747763872,0,NA
1,0,0.001,-0.7214966908121205,-0.7214966908121205,0,-0.7214966908121205,0,-0.7214966908121205,0,-0.7214966908121205,0,NA
1,0,1e-4,-11.784944193825366,-11.784944193825366,0,-11.784944193825366,0,-11.784944193825366,0,-11.784944193825366,0,NA
1,0,0,-16.593601367308793,-16.593601367308793,0,-16.593601367308793,0,-16.593601367308793,0,-16.593601367308793,0,NA
2,1.6,1,67.0156444492236,63.999586914151486,3.0160575350721146,60.947613936898065,9.288958597792785,67.20269412351847,3.033878411172381,57.58310849654751,12.65346403814334,0
2,1.6,0.1,66.07992166717546,61.39022933428602,4.689692332889436,60.947613936898065,10.379340967714711,63.502323369006476,7.824631535606301,57.58229449223742,13.744660412375353,0
2,1.6,0.01,64.26418903991004,57.50744017961551,6.756748860294529,60.947613936898065,3.9350026761516403,62.7244648106553,2.158151802394407,57.58215358481987,7.300463028229835,0
2,1.6,0.001,62.224232251637105,55.49972143410348,6.724510817533627,60.947613936898065,-0.4729171118605038,55.96974587654575,4.50495094849181,57.582138483405906,2.8925583416316556,0
2,1.6,1e-4,63.57067847827739,54.97299174770709,8.597686730570295,60.947613936898065,13.080657558463017,59.70774756541278,14.320523929948301,57.58213696245996,16.44613453290112,0
2,1.6,0,60.947613936898065,60.947613936898065,0,60.947613936898065,0,60.947613936898065,0,60.947613936898065,0,NA
2,0.16,1,58.06923660393794,63.96545175990348,-5.8962151559655425,57.58370692155011,-1.1849056927718706,64.3775892209873,-7.978787992209064,57.58419934382903,-1.1853981150507877,12.867841109735439
2,0.16,0.1,58.59782124227536,61.353620018887,-2.755798776611641,57.58370692155011,-2.2277000213846136,60.35847473797744,-5.002467837811942,57.58419934382903,-2.2281924436635308,21.090074413205723
2,0.16,0.01,56.554524733320655,57.46714925071971,-0.9126245173990526,57.58370692155011,-2.6554857246380124,59.51361274846183,-4.585391551549733,57.58419934382903,-2.6559781469169295,24.24178606618133
2,0.16,0.001,55.40438705498805,55.457526810688904,-0.05313975570085461,57.58370692155011,-4.740812520972469,52.17705365809551,0.665840742482132,57.58419934382903,-4.741304943251386,38.73514688799383
2,0.16,1e-4,57.26477278698281,54.930297685604145,2.334475101378665,57.58370692155011,-5.2136740931424725,56.23704054101047,-3.8670077126028346,57.58419934382903,-5.21416651542139,41.90731187864956
2,0.16,0,57.58370692155011,57.58370692155011,0,57.58370692155011,0,57.58370692155011,0,57.58370692155011,0,NA
2,0.016,1,51.57966765485966,63.274779342891726,-11.695111688032064,52.84247253263852,-0.33073653761844213,60.395765569188775,-7.8840295741687,56.93713843086557,-4.425402435845498,4.095936190944806
2,0.016,0.1,53.48120401281684,60.61288675112235,-7.131682738305514,52.84247253263852,1.7081716082632994,55.927400045674844,-1.3767559047730273,56.93713843086557,-2.386494289963757,2.6955957651308897
2,0.016,0.01,51.63212309346417,56.651924188546786,-5.019801095082613,52.84247253263852,-3.0790412514026997,54.98810055519311,-5.224669273957289,56.93713843086557,-7.173707149629756,5.913860997486886
2,0.016,0.001,51.78404147712302,54.60378341386978,-2.819741936746759,52.84247253263852,-1.0421366917331838,46.83147106897224,4.968864771933092,56.93713843086557,-5.13680258996024,4.569996251913655
2,0.016,1e-4,55.27886774954186,54.0664489140287,1.2124188355131622,52.84247253263852,-1.6099039247954323,51.34527765254337,-0.11270904470028853,56.93713843086557,-5.704569823022489,4.945796213103316
2,0.016,0,52.84247253263852,52.84247253263852,0,52.84247253263852,0,52.84247253263852,0,52.84247253263852,0,NA
2,0.0016,1,39.18131342676648,52.23694089263151,-13.05562746586503,44.36005451885584,-3.2211807368602976,53.27198937480509,-12.133115592809546,43.99592017159658,-2.857046389601038,1.1874369903160076
2,0.0016,0.1,39.63310549799119,48.77501116359832,-9.141905665607133,44.36005451885584,-1.9410125075829257,47.99988060510307,-5.580838593830158,43.99592017159658,-1.5768781603236661,1.0932711881536705
2,0.0016,0.01,39.24868482582754,43.623573388322434,-4.374888562494895,44.36005451885584,-2.701653967820455,46.89162546010969,-5.233224909074302,43.99592017159658,-2.3375196205611957,1.1488919621725424
2,0.0016,0.001,38.56819513281406,40.95985981136465,-2.3916646785505904,44.36005451885584,-7.489060738790215,37.26782955101907,-0.39683577095344447,43.99592017159658,-7.1249263915309555,1.524427937546641
2,0.0016,1e-4,40.87880938456311,40.26102835393212,0.6177810306309937,44.36005451885584,-1.6580629982805277,42.59355305075411,0.10843846982120198,43.99592017159658,-1.2939286510212682,1.0728147217685988
2,0.0016,0,44.36005451885584,44.36005451885584,0,44.36005451885584,0,44.36005451885584,0,44.36005451885584,0,NA
2,2e-4,1,23.855637197244786,20.800837278128338,3.054799919116448,16.017152387342666,7.065817950796987,21.311016500910572,1.7719538372290806,16.17230091416825,6.910669423971402,0.3811443286318582
2,2e-4,0.1,21.16281627147855,15.06037715967068,6.102439111807872,6.541749915051122,11.752049707505387,12.432896623048661,5.860902999507848,12.936996349351002,5.356803273205507,0.4852745500069713
2,2e-4,0.01,21.933732806856966,6.518429339734444,15.415303467122522,6.3035063278445485,14.265903790664826,10.566618353326106,10.002791765183268,8.407569958606857,12.161840159902518,0.4319120929829443
