block_id,conc1,conc2,response,response_origin
8,2e-4,1,59.99771087602016,60
8,2e-4,0.1,54.26470039202014,54.263959390862944
8,2e-4,0.01,28.729648221844613,28.730964467005066
8,2e-4,0.001,-1.9280142064746804,-1.9289340101522896
8,2e-4,1e-4,8.376032647921951,8.3756345177665
8,2e-4,0,0.6594909485780858,0.6598984771573555
8,0,1,60.458177050508354,60.45685279187818
8,0,0.1,56.90285206782314,56.90355329949239
8,0,0.01,22.892820400924194,22.893401015228434
8,0,0.001,-7.41216858487138,-7.411167512690355
8,0,1e-4,-12.183409295358013,-12.18274111675126
8,0,0,-24.516821312508533,-24.517766497461906
9,1.6,1,70.71553018342084,70.71509648127129
9,1.6,0.1,55.052083479308486,55.05107832009081
9,1.6,0.01,54.08587548860042,54.08626560726447
9,1.6,0.001,58.00264651785137,58.00227014755959
9,1.6,1e-4,60.32941556106524,60.32917139614075
9,1.6,0,56.92252379941131,56.92395005675369
9,0.16,1,60.04718138047931,60.04540295119183
9,0.16,0.1,47.16244999817172,47.16231555051078
9,0.16,0.01,50.341287732937865,50.340522133938705
9,0.16,0.001,46.70924117526941,46.708286038592504
9,0.16,1e-4,50.17021050126791,50.17026106696935
9,0.16,0,57.3776737532522,57.37797956867197
9,0.016,1,56.41406052954806,56.41316685584563
9,0.016,0.1,47.89906620922892,47.90011350737798
9,0.016,0.01,43.24828234760189,43.24631101021566
9,0.016,0.001,36.208469943376116,36.2088535754824
9,0.016,1e-4,36.664537232702955,36.66288308740068
9,0.016,0,43.077562155940264,43.07604994324631
9,0.0016,1,52.61075265926367,52.610669693530085
9,0.0016,0.1,38.13904622204993,38.138479001135074
9,0.0016,0.01,29.681154793177683,29.682179341657218
9,0.0016,0.001,22.588291224437185,22.58796821793416
9,0.0016,1e-4,21.05666222766835,21.055618615209994
9,0.0016,0,32.51996286963332,32.51986379114642
9,2e-4,1,46.19704870077529,46.197502837684446
9,2e-4,0.1,38.08106953029284,38.08172531214529
9,2e-4,0.01,4.540259196760136,4.540295119182758
9,2e-4,0.001,-10.66862436861878,-10.669693530079456
9,2e-4,1e-4,-0.28425241987923433,-0.28376844494893305
9,2e-4,0,1.4187212146332668,1.4188422247445942
9,0,1,41.48565251152853,41.48694665153235
9,0,0.1,29.342151520554513,29.341657207718498
9,0,0.01,-16.911291417435613,-16.912599318955728
9,0,0.001,-36.32086391245255,-36.32236095346195
9,0,1e-4,-14.471375989664105,-14.472190692395003
9,0,0,-4.65567228595252,-4.653802497162317
10,1.6,1,62.94785045055676,62.94736842105263
10,1.6,0.1,58.68466666191909,58.68421052631579
10,1.6,0.01,63.262804494451004,63.263157894736835
10,1.6,0.001,61.47385469999726,61.473684210526315
10,1.6,1e-4,56.630714911414294,56.631578947368425
10,1.6,0,55.579626599195066,55.57894736842105
10,0.16,1,56.683883425301126,56.68421052631578
10,0.16,0.1,53.36685197044644,53.36842105263158
10,0.16,0.01,46.736474654506985,46.73684210526316
10,0.16,0.001,50.52768022440276,50.526315789473685
10,0.16,1e-4,54.10492887653001,54.10526315789474
10,0.16,0,51.79020643425274,51.78947368421053
10,0.016,1,48.527262375113885,48.526315789473685
10,0.016,0.1,45.473688609230635,45.47368421052631
10,0.016,0.01,51.31543715137866,51.31578947368421
10,0.016,0.001,44.57841767291192,44.578947368421055
10,0.016,1e-4,44.158634326067684,44.15789473684211
10,0.016,0,43.10419970047925,43.10526315789473
10,0.0016,1,46.68445673715933,46.684210526315795
10,0.0016,0.1,41.789184184843954,41.78947368421052
10,0.0016,0.01,34.260893005380346,34.263157894736835
10,0.0016,0.001,39.41964378112287,39.421052631578945
10,0.0016,1e-4,31.474600229855106,31.473684210526315
10,0.0016,0,36.84191398420736,36.8421052631579
10,2e-4,1,26.158698020058228,26.157894736842096
10,2e-4,0.1,11.633466421831733,11.631578947368425
10,2e-4,0.01,10.843579144339,10.84210526315789
10,2e-4,0.001,8.790150952702833,8.78947368421052
10,2e-4,1e-4,9.421432594265527,9.42105263157896
10,2e-4,0,4.368228254205118,4.368421052631575
10,0,1,19.896314733900166,19.89473684210526
10,0,0.1,-5.473087976416997,-5.473684210526315
10,0,0.01,-14.053805155888227,-14.052631578947356
10,0,0.001,-10.736997747798041,-10.73684210526315
10,0,1e-4,-18.15981364666238,-18.15789473684211
10,0,0,-15.947563679898726,-15.947368421052616
11,1.6,1,73.14652133239262,73.14911366006257
11,1.6,0.1,73.46325352250088,73.46193952033369
11,1.6,0.01,68.87319136002294,68.87382690302398
11,1.6,0.001,65.74513832147413,65.74556830031283
11,1.6,1e-4,69.65572223536947,69.65589155370176
11,1.6,0,70.49070606593207,70.49009384775809
11,0.16,1,72.680553209833107,72.67987486965589
11,0.16,0.1,62.87856586646674,62.877997914494266
11,0.16,0.01,56.72518345322506,56.72575599582898
11,0.16,0.001,53.90895996213267,53.910323253388945
11,0.16,1e-4,54.379173321551285,54.37956204379562
11,0.16,0,51.98150836251619,51.981230448383734
11,0.016,1,72.20981299812765,72.21063607924921
11,0.016,0.1,55.42224607043153,55.42231491136601
11,0.016,0.01,54.27411909471245,54.27528675703858
11,0.016,0.001,50.41709283801394,50.417101147028156
11,0.016,1e-4,54.84892968960389,54.848800834202294
11,0.016,0,51.82467164261972,51.82481751824818
11,0.0016,1,70.854893440451,70.85505735140772
11,0.0016,0.1,57.04034540810289,57.0385818561001
11,0.0016,0.01,50.36572609016205,50.36496350364963
11,0.0016,0.001,37.54021466361462,37.53910323253389
11,0.0016,1e-4,36.18260129773956,36.183524504692386
11,0.0016,0,36.757202923694535,36.75703858185611
11,2e-4,1,73.20240612862818,73.20125130344108
11,2e-4,0.1,59.38471928670894,59.38477580813347
11,2e-4,0.01,53.12612924206292,53.128258602711156
11,2e-4,0.001,32.48209667057962,32.48175182481752
11,2e-4,1e-4,22.365144053939186,22.367049009384772
11,2e-4,0,21.323484971661244,21.324296141814386
